account_id,customer_id,account_type,opened_at,status
"81001","00001","CHECKING","2023-01-10","ACTIVE"
"81002","00002","CHECKING","2022-06-01","ACTIVE"
"81003","00003","CHECKING","2024-09-15","ACTIVE"
"81004","00004","SAVINGS","2021-03-20","ACTIVE"
"81005","00005","CHECKING","2020-11-02","ACTIVE"
"81006","00006","CHECKING","2022-02-28","ACTIVE"
"81007","00007","CHECKING","2025-01-01","ACTIVE"
"81008","00008","SAVINGS","2023-04-12","ACTIVE"
"81009","00009","CHECKING","2023-05-05","ACTIVE"
"81010","00010","CHECKING","2022-12-12","ACTIVE"
"81011","00011","SAVINGS","2021-08-08","ACTIVE"
"81012","00012","CHECKING","2024-01-15","ACTIVE"
"81013","00013","CHECKING","2020-02-02","ACTIVE"
"81014","00014","CHECKING","2022-10-10","ACTIVE"
"81014","00014","CHECKING","2022-10-10","ACTIVE"
"81015","00015","SAVINGS","2023-03-03","ACTIVE"
"81016","00016","CHECKING","2021-07-07","ACTIVE"
"81017","00017","CHECKING","2025-05-01","ACTIVE"
"81018","00018","CHECKING","2024-06-06","ACTIVE"
"81019","00019","SAVINGS","2020-09-09","ACTIVE"
"81020","00020","CHECKING","2023-11-11","ACTIVE"
"81021","00001","SAVINGS","2024-02-02","ACTIVE"
"81022","00002","SAVINGS","2024-03-03","ACTIVE"
"81023","00003","SAVINGS","2024-04-04","ACTIVE"
"81024","00007","SAVINGS","2024-05-05","ACTIVE"
"81025","00012","SAVINGS","2024-07-07","ACTIVE"
"81026","00018","SAVINGS","2022-01-20","ACTIVE"
"81027","00019","CHECKING","2021-12-01","ACTIVE"
"81028","00020","SAVINGS","2022-06-15","ACTIVE"
"89991","99999","CHECKING","2025-01-01","ACTIVE"
