loan_id,customer_id,product_type,principal,issued_at,due_date
"50001","00001","CONSUMER","1500","2025-10-01","2026-01-15"
"50002","00002","MORTGAGE","85000","2020-05-15","2026-01-10"
"50003","00003","CONSUMER","3000","2025-06-01","2026-01-20"
"50004","00004","CONSUMER","2000","2025-09-01","2026-01-05"
"50005","00005","CONSUMER","1200","2025-11-15","2026-01-25"
"50006","00006","CONSUMER","900","2025-12-01","2026-01-18"
"50007","00007","CONSUMER","2500","2025-08-01","2026-01-12"
"50008","00008","MORTGAGE","60000","2019-03-10","2026-01-08"
"50009","00012","CONSUMER","1800","2025-07-07","2026-01-14"
"50010","00014","CONSUMER","2200","2025-10-10","2026-01-22"
"50011","00018","CONSUMER","1600","2025-09-09","2026-01-02"
"50012","00020","CONSUMER","1400","2025-12-15","2026-01-28"
