repayment_id,loan_id,payment_date,amount
"80001","50001","2025-12-15","100"
"80002","50001","2026-01-15","100"
"80003","50002","2025-12-10","500"
"80004","50002","2026-01-10","500"
"80005","50003","2026-01-05","0"
"80006","50003","2026-01-20","50"
"80007","50004","2025-12-05","100"
"80008","50004","2026-01-05","100"
"80009","50005","2026-01-10","50"
"80010","50006","2026-01-01","50"
"80011","50007","2025-12-12","100"
"80012","50007","2026-01-12","100"
"80013","50008","2026-01-08","700"
"80014","50009","2025-12-14","100"
"80015","50009","2026-01-14","100"
"80016","50010","2026-01-22","0"
"80017","50011","2025-12-02","100"
"80018","50011","2026-01-02","0"
"80019","50012","2026-01-15","50"
"80020","50012","2026-01-28","50"
"80021","59999","2026-01-10","100"
"80022","50006","2026-01-18","50"
"80023","50005","2026-01-25","50"
"80024","50010","2026-01-25","100"
