txn_id,account_id,txn_time,amount,merchant_category,channel
"90001","81001","2026-01-26 09:10:00","12.50","groceries","CARD"
"90002","81001","2026-01-26 12:22:00","6.20","coffee","CARD"
"90003","81002","2026-01-26 14:05:00","40.00","fuel","CARD"
"90004","81002","2026-01-26 18:30:00","1200.00","rent","TRANSFER"
"90005","81003","2026-01-27 08:00:00","80.00","fuel","CARD"
"90006","81003","2026-01-27 08:01:00","80.00","fuel","CARD"
"90007","81003","2026-01-27 08:02:00","80.00","fuel","CARD"
"90008","81003","2026-01-27 08:03:00","80.00","fuel","CARD"
"90009","81003","2026-01-27 08:04:00","80.00","fuel","CARD"
"90010","81003","2026-01-27 08:05:00","80.00","fuel","CARD"
"90011","81004","2026-01-27 09:15:00","15.00","transport","CARD"
"90012","81005","2026-01-27 10:20:00","25.00","groceries","CARD"
"90013","81006","2026-01-27 11:05:00","9.99","subscription","CARD"
"90014","81007","2026-01-27 11:40:00","14.30","coffee","CARD"
"90015","81007","2026-01-27 12:10:00","18.90","groceries","CARD"
"90016","81007","2026-01-27 12:55:00","22.10","groceries","CARD"
"90017","81007","2026-01-27 13:05:00","1500.00","electronics","CARD"
"90018","81008","2026-01-27 13:30:00","60.00","fuel","CARD"
"90019","81009","2026-01-27 14:10:00","7.50","coffee","CARD"
"90020","81010","2026-01-27 15:00:00","100.00","shopping","CARD"
"90021","81011","2026-01-27 15:20:00","200.00","shopping","CARD"
"90022","81012","2026-01-27 16:05:00","35.00","groceries","CARD"
"90023","81013","2026-01-27 16:40:00","5.00","coffee","CARD"
"90024","81014","2026-01-27 17:10:00","70.00","fuel","CARD"
"90025","81015","2026-01-27 18:00:00","55.00","groceries","CARD"
"90026","81016","2026-01-27 18:30:00","30.00","transport","CARD"
"90027","81017","2026-01-27 19:10:00","9.99","subscription","CARD"
"90028","81018","2026-01-28 09:00:00","9.99","gaming","CARD"
"90029","81018","2026-01-28 09:01:00","9.99","gaming","CARD"
"90030","81018","2026-01-28 09:02:00","9.99","gaming","CARD"
"90031","81018","2026-01-28 09:03:00","9.99","gaming","CARD"
"90032","81018","2026-01-28 09:04:00","9.99","gaming","CARD"
"90033","81018","2026-01-28 09:05:00","9.99","gaming","CARD"
"90034","81018","2026-01-28 09:06:00","9.99","gaming","CARD"
"90035","81019","2026-01-28 10:00:00","250.00","electronics","CARD"
"90036","81020","2026-01-28 10:10:00","11.00","coffee","CARD"
"90037","81021","2026-01-28 10:15:00","300.00","transfer_out","TRANSFER"
"90038","81022","2026-01-28 10:20:00","300.00","transfer_out","TRANSFER"
"90039","81023","2026-01-28 10:25:00","300.00","transfer_out","TRANSFER"
"90040","81024","2026-01-28 11:00:00","45.00","groceries","CARD"
"90041","81025","2026-01-28 11:10:00","16.50","coffee","CARD"
"90042","81026","2026-01-28 11:20:00","80.00","fuel","CARD"
"90043","81027","2026-01-28 11:30:00","60.00","fuel","CARD"
"90044","81028","2026-01-28 11:40:00","22.00","groceries","CARD"
"90045","81012","2026-01-28 12:00:00","-15.00","refund","CARD"
"90046","81005","2026-01-28 12:10:00","abc","groceries","CARD"
"90047","81006","2026-01-28 12:20:00","0","fee","CARD"
"90048","81007","2026-01-28 12:30:00","19.90","groceries","CARD"
"90049","81008","2026-01-28 12:40:00","27.30","groceries","CARD"
"90050","81009","2026-01-28 13:00:00","8.00","coffee","CARD"
"90051","81010","2026-01-28 13:10:00","90.00","shopping","CARD"
"90052","81011","2026-01-28 13:20:00","110.00","shopping","CARD"
"90053","81014","2026-01-28 13:30:00","65.00","fuel","CARD"
"90054","81015","2026-01-28 13:40:00","20.00","groceries","CARD"
"90055","81016","2026-01-28 13:50:00","","groceries","CARD"
"90056","89999","2026-01-28 14:00:00","50.00","groceries","CARD"
"90057","81017","2026-01-28 14:10:00","9.99","subscription","CARD"
"90058","81018","2026-01-28 14:20:00","9.99","gaming","CARD"
"90059","81003","2026-01-28 15:00:00","82.00","fuel","CARD"
"90060","81001","2026-01-28 16:00:00","14.00","coffee","CARD"
